Strain	Coverage	Depth	Abundance(%)	Genome length	SNP	SNP density	Saturation number prediction
GCF_000242435	0.6965417126188908	767.0052162524667	5.228071583778727	2499879	122750	0.0704945241117115	123856.0
GCF_000187895	0.739711944393436	835.2880467868738	4.456967961549172	4421924	120002	0.0366872009660801	120860.25166666666
GCF_000154465	0.8607683917766178	781.0085377299682	4.042201296319041	2550678	9904	0.0045109569705535	9951.468333333334
GCF_000154525	0.8161560006673602	598.487327514465	3.116281583136398	4009829	30005	0.0091684221269272	30213.898464285718
GCF_000273035	0.8038629667595241	475.75453995476	2.5024146847448825	6079576	29340	0.0060035038854988	29721.296666666665
GCF_000283495	0.7954150735558556	277.3770102290443	1.662094554822672	2474718	135639	0.0689072701668539	137265.67250000002
GCF_000299455	0.8669792421277275	1228.8665373035346	27.75836216879684	5437407	50608	0.0107354099461638	51109.20666666666
GCF_000162015	0.8318319387227786	692.956742749767	17.001645171053394	3090349	83780	0.0325909662571854	86246.31214285713
GCF_000154205	0.8758987153686394	266.8680978585522	6.075160238851399	4719097	48155	0.0116500715745753	48170.885
GCF_000174195	0.7859807008192247	239.29448738805007	5.665482836476963	4048462	53449	0.0167972286725415	56173.7
GCF_000242435	0.6759999183960503	174.32331724855484	5.180103973667128	2499879	119103	0.0704785675991379	124100.15488095238
GCF_000187895	0.7280842004521109	188.0612335264016	4.3926353173493	4421924	118664	0.0368575193979996	120926.15375
GCF_000154465	0.8492228340856823	175.74582169917176	3.978787158615081	2550678	9784	0.0045168861554484	9960.0
GCF_000154525	0.8051682503169088	133.89211410262132	3.0500950960657938	4009829	29920	0.0092672119413229	30471.36666666667
GCF_000273035	0.7914186778814838	106.05224032070656	2.441908541660166	6079576	29610	0.0061540188174557	29789.386071428573
GCF_000283495	0.7856224426379086	62.87147101205067	1.6497537241321247	2474718	131827	0.0678054762024777	137424.83833333332
GCF_000299455	0.8258532053973521	127.9655782618443	27.705619416216347	5437407	49841	0.0110992094421556	51438.01233333335
GCF_000162015	0.8103104212501565	72.79112973971549	17.18346419238565	3090349	84925	0.0339138115969461	86493.80042857147
GCF_000154205	0.8245259633357822	27.526902922317557	6.009029492326659	4719097	46777	0.0120217896704667	48965.442845238096
GCF_000174195	0.7592001604559954	24.83649469848056	5.647840543806834	4048462	50177	0.0163251933486313	58768.558916666654
GCF_000242435	0.6443395860359642	18.36941027945753	5.243451198860096	2499879	104349	0.0647820205355075	129642.84295238095
GCF_000187895	0.7052952515692265	19.419882159892392	4.351930613439755	4421924	114544	0.0367273937543166	132203.42529761908
GCF_000154465	0.8334509491201947	18.056517522007876	3.920243827446914	2550678	9186	0.0043210646019385	10682.752678571429
GCF_000154525	0.7719284288681637	13.771139866562889	3.007912250991516	4009829	27667	0.0089383875752309	31526.730011904758
GCF_000273035	0.759944114523776	10.913012683779264	2.410036638075124	6079576	22036	0.0047695545024845	32953.681071428546
